bullied,age,age_grouped,gender,sexual_orientation,race,citizen,physical_disability,learning_disability,activity,transportation,grade,skip_class,income,student_care,adult_care,region,school_type,religion,locale,school_size,security,supervision,school_code,rule_enforced,respect,banned_item
0,12,1,0.0,1,1,1,1,1,0,5.0,2.0,0,3,1.0,1.0,4.0,1.0,0,2.0,2.0,1.0,1.0,1.0,1,1.0,0
1,16,2,0.0,2,2,1,0,0,0,5.0,1.0,1,4,1.0,1.0,4.0,1.0,0,1.0,4.0,1.0,1.0,1.0,0,1.0,0
0,14,1,1.0,1,2,1,0,0,0,2.0,1.0,0,4,1.0,1.0,4.0,1.0,0,1.0,3.0,1.0,1.0,1.0,0,1.0,0
0,12,1,1.0,1,2,1,0,0,0,5.0,2.0,0,4,1.0,1.0,4.0,1.0,0,1.0,3.0,1.0,1.0,1.0,1,1.0,0
0,17,3,1.0,1,1,1,0,0,0,3.0,2.0,0,3,1.0,1.0,4.0,1.0,0,1.0,3.0,1.0,1.0,1.0,1,1.0,1
0,17,3,0.0,1,1,1,0,0,0,1.0,2.0,0,1,1.0,0.0,4.0,1.0,0,1.0,4.0,1.0,1.0,1.0,1,1.0,1
0,12,1,0.0,1,1,1,0,0,0,3.0,2.0,0,4,1.0,1.0,4.0,1.0,0,1.0,2.0,1.0,1.0,1.0,1,1.0,0
1,17,3,0.0,3,2,1,0,1,1,5.0,1.0,0,2,1.0,1.0,4.0,1.0,0,3.0,2.0,1.0,1.0,1.0,0,0.0,0
0,15,2,1.0,1,2,1,0,0,0,5.0,2.0,0,2,1.0,1.0,4.0,1.0,0,3.0,2.0,1.0,1.0,1.0,1,1.0,0
0,15,2,0.0,1,1,1,0,0,0,5.0,2.0,0,2,1.0,1.0,4.0,1.0,0,1.0,3.0,1.0,1.0,1.0,1,1.0,0
0,15,2,0.0,1,5,1,0,1,0,5.0,2.0,0,3,1.0,1.0,4.0,1.0,0,1.0,4.0,1.0,0.0,1.0,0,1.0,0
0,18,3,1.0,1,1,1,0,0,0,3.0,2.0,0,3,1.0,1.0,4.0,1.0,0,3.0,2.0,1.0,1.0,1.0,1,1.0,1
0,12,1,1.0,1,1,1,0,0,0,3.0,1.0,0,3,1.0,1.0,4.0,1.0,0,3.0,1.0,1.0,1.0,1.0,1,1.0,0
1,14,1,1.0,1,1,1,0,0,0,3.0,2.0,0,3,1.0,1.0,4.0,1.0,0,2.0,1.0,1.0,1.0,1.0,1,1.0,0
0,13,1,0.0,1,1,1,0,0,0,3.0,1.0,0,3,1.0,1.0,4.0,1.0,0,2.0,1.0,1.0,1.0,1.0,1,1.0,0
0,14,1,1.0,1,2,1,0,0,0,5.0,2.0,0,1,1.0,1.0,4.0,1.0,0,3.0,3.0,1.0,1.0,1.0,1,1.0,0
0,12,1,0.0,1,2,1,0,0,0,5.0,1.0,0,1,1.0,1.0,4.0,1.0,0,3.0,2.0,1.0,1.0,1.0,1,1.0,0
0,14,1,1.0,1,2,1,0,0,0,5.0,3.0,0,3,1.0,1.0,4.0,1.0,0,3.0,3.0,1.0,1.0,0.0,1,1.0,1
0,16,2,1.0,1,5,1,1,1,0,3.0,1.0,0,3,1.0,1.0,4.0,1.0,0,1.0,3.0,1.0,1.0,1.0,1,1.0,0
0,14,1,0.0,1,1,1,0,0,0,5.0,1.0,0,2,1.0,1.0,4.0,1.0,0,1.0,4.0,1.0,1.0,1.0,1,0.0,0
1,13,1,1.0,1,1,1,0,0,0,5.0,1.0,0,2,1.0,1.0,4.0,1.0,0,1.0,3.0,1.0,1.0,1.0,1,1.0,0
0,17,3,0.0,1,2,1,0,0,0,5.0,2.0,0,4,1.0,1.0,4.0,1.0,0,2.0,4.0,1.0,1.0,1.0,1,1.0,0
0,13,1,0.0,1,2,1,0,0,1,3.0,2.0,0,4,1.0,1.0,2.0,1.0,0,4.0,1.0,1.0,1.0,1.0,0,1.0,0
0,12,1,1.0,1,2,1,0,0,1,3.0,1.0,0,4,1.0,1.0,2.0,1.0,0,4.0,1.0,1.0,1.0,1.0,1,1.0,0
0,18,3,1.0,1,4,2,0,0,1,5.0,2.0,1,3,1.0,1.0,2.0,1.0,0,1.0,4.0,1.0,1.0,1.0,1,1.0,0
0,18,3,1.0,1,2,1,0,0,0,5.0,2.0,0,1,1.0,1.0,2.0,1.0,0,3.0,1.0,1.0,1.0,1.0,1,1.0,0
0,17,3,0.0,1,2,1,0,0,0,5.0,1.0,0,4,1.0,1.0,2.0,2.0,1,1.0,2.0,1.0,1.0,1.0,1,1.0,0
0,15,2,1.0,1,2,1,0,0,1,3.0,3.0,0,4,1.0,1.0,4.0,1.0,0,4.0,3.0,1.0,1.0,1.0,1,1.0,0
0,14,1,0.0,1,1,1,0,0,1,5.0,1.0,0,3,1.0,1.0,4.0,1.0,0,1.0,4.0,1.0,1.0,1.0,1,1.0,0
0,12,1,1.0,1,1,1,0,0,0,1.0,3.0,0,1,0.0,0.0,4.0,1.0,0,2.0,2.0,0.0,0.0,1.0,1,1.0,0
0,15,2,1.0,1,1,1,0,0,0,1.0,2.0,0,2,1.0,1.0,4.0,1.0,0,1.0,3.0,1.0,1.0,1.0,1,1.0,0
0,16,2,1.0,1,4,1,0,0,0,5.0,2.0,0,4,0.0,1.0,4.0,1.0,0,2.0,4.0,1.0,1.0,1.0,1,1.0,1
0,13,1,1.0,1,4,1,0,0,0,5.0,1.0,0,4,1.0,1.0,4.0,1.0,0,2.0,4.0,1.0,0.0,1.0,0,1.0,0
0,16,2,1.0,1,1,1,0,0,0,3.0,2.0,0,3,1.0,1.0,4.0,1.0,0,1.0,4.0,1.0,1.0,1.0,1,1.0,0
0,16,2,0.0,1,2,1,0,0,1,5.0,3.0,0,3,1.0,1.0,4.0,1.0,0,4.0,4.0,1.0,1.0,1.0,1,1.0,0
0,15,2,0.0,1,1,1,0,0,0,5.0,2.0,0,2,1.0,1.0,4.0,1.0,0,1.0,1.0,1.0,1.0,1.0,1,1.0,0
0,16,2,1.0,1,1,1,0,0,0,5.0,2.0,0,2,1.0,1.0,4.0,1.0,0,1.0,1.0,1.0,1.0,1.0,1,1.0,0
0,16,2,0.0,1,1,0,0,0,0,1.0,1.0,0,2,1.0,1.0,4.0,1.0,0,1.0,3.0,1.0,0.0,1.0,1,1.0,0
0,15,2,1.0,1,1,1,0,0,0,1.0,1.0,0,2,1.0,1.0,4.0,1.0,0,1.0,3.0,1.0,0.0,1.0,1,1.0,0
0,12,1,1.0,1,4,1,0,0,1,5.0,2.0,0,4,1.0,1.0,4.0,1.0,0,1.0,2.0,0.0,1.0,1.0,1,1.0,0
1,16,2,1.0,1,2,1,0,0,0,1.0,4.0,0,2,1.0,0.0,4.0,1.0,0,2.0,4.0,1.0,0.0,1.0,0,0.0,0
0,14,1,1.0,1,1,1,0,0,1,1.0,3.0,0,2,1.0,1.0,4.0,1.0,0,1.0,4.0,1.0,1.0,1.0,1,1.0,0
0,13,1,0.0,1,1,1,0,0,0,1.0,2.0,0,2,1.0,1.0,4.0,1.0,0,1.0,2.0,1.0,1.0,1.0,1,1.0,0
1,12,1,1.0,1,1,1,0,0,0,5.0,2.0,1,3,1.0,1.0,4.0,1.0,0,1.0,3.0,1.0,1.0,1.0,0,1.0,0
1,16,2,1.0,1,1,1,0,0,1,5.0,1.0,0,3,1.0,1.0,4.0,1.0,0,2.0,4.0,1.0,1.0,1.0,1,1.0,0
0,12,1,1.0,1,1,1,0,0,1,5.0,1.0,0,3,1.0,1.0,4.0,1.0,0,2.0,2.0,1.0,1.0,1.0,1,1.0,0
1,14,1,0.0,1,2,1,0,0,1,3.0,1.0,0,4,1.0,1.0,1.0,2.0,0,4.0,1.0,0.0,1.0,0.0,1,1.0,0
0,14,1,0.0,1,5,1,0,0,0,1.0,1.0,0,4,1.0,1.0,1.0,1.0,0,2.0,2.0,1.0,1.0,1.0,0,1.0,0
0,14,1,0.0,1,5,1,0,0,0,1.0,1.0,0,4,1.0,1.0,1.0,1.0,0,2.0,2.0,1.0,1.0,1.0,0,1.0,0
1,16,2,0.0,1,2,1,0,0,1,3.0,1.0,0,2,1.0,1.0,2.0,1.0,0,1.0,3.0,1.0,1.0,1.0,1,1.0,0
0,14,1,1.0,1,2,1,0,0,1,3.0,1.0,0,2,1.0,1.0,2.0,1.0,0,1.0,3.0,1.0,1.0,1.0,1,1.0,0
1,18,3,1.0,1,2,1,0,0,1,5.0,2.0,0,3,1.0,1.0,2.0,1.0,0,1.0,3.0,1.0,1.0,1.0,1,1.0,0
0,18,3,1.0,1,2,1,0,0,1,1.0,2.0,1,3,1.0,1.0,2.0,1.0,0,1.0,3.0,1.0,1.0,1.0,1,1.0,0
0,15,2,1.0,1,1,1,0,0,0,1.0,2.0,0,1,1.0,1.0,4.0,1.0,0,2.0,4.0,1.0,1.0,1.0,0,1.0,0
0,16,2,1.0,1,4,1,0,0,1,5.0,1.0,0,2,1.0,1.0,4.0,1.0,0,2.0,4.0,1.0,1.0,1.0,1,1.0,0
0,13,1,1.0,1,2,1,0,0,0,5.0,1.0,0,3,1.0,1.0,4.0,1.0,0,2.0,2.0,1.0,1.0,1.0,1,1.0,0
0,18,3,1.0,1,2,1,0,0,1,2.0,2.0,0,3,1.0,1.0,4.0,1.0,0,2.0,1.0,1.0,1.0,1.0,0,1.0,0
0,12,1,0.0,1,1,1,0,0,0,5.0,2.0,0,3,1.0,1.0,4.0,1.0,0,2.0,2.0,0.0,1.0,1.0,1,1.0,0
0,16,2,1.0,1,5,1,0,0,1,5.0,2.0,0,4,1.0,1.0,4.0,1.0,0,1.0,4.0,1.0,1.0,1.0,1,1.0,0
1,17,3,0.0,1,1,1,0,0,0,5.0,2.0,1,3,1.0,1.0,4.0,1.0,0,1.0,3.0,1.0,1.0,1.0,1,1.0,1
0,17,3,1.0,1,2,1,0,0,0,5.0,4.0,0,3,0.0,1.0,4.0,1.0,0,2.0,4.0,1.0,1.0,1.0,1,1.0,0
1,12,1,1.0,1,3,1,0,1,0,4.0,2.0,0,1,1.0,1.0,4.0,1.0,0,1.0,2.0,1.0,1.0,1.0,1,1.0,0
0,18,3,1.0,1,1,1,0,0,1,4.0,3.0,0,3,1.0,1.0,4.0,1.0,0,4.0,4.0,1.0,1.0,1.0,1,1.0,0
0,18,3,1.0,1,1,1,0,0,1,4.0,2.0,0,3,1.0,1.0,4.0,1.0,0,4.0,4.0,1.0,1.0,1.0,1,1.0,0
0,13,1,1.0,1,1,1,0,0,1,1.0,1.0,0,1,1.0,1.0,4.0,1.0,0,2.0,2.0,1.0,1.0,0.0,0,1.0,0
0,16,2,1.0,1,1,1,0,0,0,3.0,2.0,0,2,1.0,1.0,4.0,1.0,0,1.0,4.0,1.0,1.0,1.0,1,1.0,0
0,17,3,0.0,1,1,1,0,0,0,5.0,2.0,0,3,1.0,1.0,4.0,1.0,0,1.0,4.0,1.0,1.0,1.0,1,1.0,0
0,13,1,1.0,1,4,1,0,0,1,5.0,1.0,0,4,1.0,1.0,4.0,2.0,1,2.0,1.0,1.0,1.0,1.0,1,1.0,0
0,14,1,1.0,1,1,1,0,0,0,5.0,1.0,0,3,1.0,1.0,4.0,1.0,0,2.0,2.0,1.0,1.0,1.0,1,1.0,0
0,17,3,0.0,1,4,1,0,1,0,5.0,2.0,0,3,1.0,1.0,4.0,1.0,0,2.0,4.0,0.0,1.0,1.0,1,1.0,0
0,16,2,1.0,1,1,1,0,0,0,1.0,3.0,0,2,1.0,1.0,4.0,1.0,0,3.0,4.0,1.0,1.0,1.0,1,1.0,0
0,15,2,1.0,1,2,1,0,0,0,5.0,3.0,0,4,1.0,1.0,4.0,1.0,0,2.0,3.0,1.0,1.0,1.0,1,1.0,1
1,12,1,0.0,1,2,1,0,0,0,3.0,2.0,0,4,1.0,1.0,4.0,1.0,0,2.0,3.0,0.0,0.0,1.0,1,1.0,0
0,12,1,0.0,1,3,1,0,0,0,5.0,1.0,0,2,1.0,1.0,4.0,1.0,0,1.0,3.0,1.0,1.0,1.0,1,1.0,0
0,15,2,0.0,1,2,1,0,0,0,5.0,1.0,0,4,1.0,1.0,1.0,1.0,0,2.0,3.0,1.0,1.0,1.0,0,1.0,0
0,12,1,1.0,1,2,1,0,0,0,3.0,1.0,0,1,1.0,1.0,1.0,1.0,0,2.0,2.0,1.0,1.0,1.0,1,1.0,0
0,18,3,0.0,1,1,1,0,0,0,5.0,1.0,0,4,1.0,1.0,1.0,2.0,0,1.0,2.0,1.0,1.0,1.0,1,1.0,0
0,16,2,0.0,1,1,1,0,0,0,5.0,1.0,0,4,1.0,1.0,1.0,2.0,0,1.0,2.0,1.0,1.0,1.0,1,1.0,0
0,15,2,0.0,1,1,1,0,0,0,3.0,1.0,0,4,1.0,1.0,1.0,1.0,0,1.0,3.0,1.0,1.0,1.0,1,1.0,0
0,14,1,0.0,1,4,1,0,0,1,3.0,1.0,0,2,1.0,1.0,1.0,1.0,0,2.0,1.0,0.0,1.0,1.0,1,1.0,0
1,15,2,0.0,1,2,1,0,0,1,5.0,2.0,0,3,1.0,1.0,1.0,2.0,1,2.0,2.0,1.0,1.0,1.0,1,1.0,0
0,18,3,0.0,1,2,1,0,0,1,5.0,1.0,0,3,1.0,1.0,1.0,1.0,0,3.0,2.0,1.0,1.0,1.0,1,1.0,0
0,13,1,0.0,1,2,1,0,0,0,5.0,1.0,0,3,1.0,1.0,1.0,1.0,0,3.0,2.0,1.0,1.0,1.0,1,1.0,0
0,13,1,1.0,1,2,1,0,0,1,5.0,2.0,0,3,1.0,1.0,1.0,1.0,0,2.0,1.0,1.0,1.0,1.0,1,1.0,0
1,12,1,1.0,1,3,1,0,0,0,3.0,2.0,0,1,1.0,1.0,3.0,1.0,0,4.0,2.0,1.0,1.0,1.0,0,1.0,0
0,13,1,1.0,1,3,1,0,0,0,5.0,2.0,0,1,1.0,1.0,2.0,1.0,0,4.0,1.0,1.0,1.0,1.0,1,1.0,0
0,16,2,0.0,1,2,1,0,0,0,5.0,2.0,0,4,1.0,1.0,2.0,1.0,0,2.0,2.0,1.0,1.0,1.0,1,1.0,1
0,18,3,0.0,1,2,1,0,0,1,5.0,2.0,0,4,1.0,1.0,2.0,1.0,0,4.0,1.0,1.0,1.0,1.0,0,1.0,0
0,15,2,0.0,1,2,2,0,0,0,3.0,1.0,0,1,1.0,1.0,2.0,1.0,0,1.0,4.0,1.0,1.0,1.0,1,1.0,0
0,13,1,1.0,1,2,2,0,0,0,3.0,1.0,0,1,1.0,1.0,2.0,1.0,0,1.0,2.0,1.0,1.0,1.0,1,1.0,0
0,16,2,0.0,1,2,1,0,0,0,3.0,2.0,0,4,1.0,1.0,2.0,1.0,0,4.0,3.0,1.0,1.0,1.0,1,1.0,0
0,12,1,1.0,1,5,1,0,0,0,5.0,2.0,0,3,1.0,1.0,2.0,2.0,0,2.0,2.0,1.0,1.0,1.0,1,1.0,0
0,18,3,0.0,1,2,1,0,0,0,5.0,1.0,0,3,1.0,1.0,2.0,1.0,0,1.0,3.0,1.0,1.0,1.0,1,1.0,0
0,15,2,1.0,1,5,1,0,0,0,5.0,1.0,0,3,1.0,1.0,2.0,1.0,0,2.0,1.0,1.0,1.0,1.0,0,1.0,0
0,15,2,1.0,1,1,1,0,0,0,5.0,3.0,1,2,1.0,1.0,2.0,1.0,0,1.0,1.0,1.0,1.0,1.0,1,1.0,0
0,18,3,1.0,1,2,2,0,0,0,3.0,2.0,0,4,1.0,1.0,2.0,1.0,0,2.0,3.0,1.0,1.0,1.0,0,1.0,0
0,13,1,0.0,1,2,1,0,0,0,3.0,1.0,0,3,1.0,1.0,2.0,1.0,0,2.0,2.0,1.0,1.0,1.0,1,1.0,0
1,17,3,0.0,1,1,1,0,0,0,3.0,1.0,0,3,1.0,1.0,2.0,1.0,0,4.0,2.0,1.0,1.0,1.0,0,1.0,0
0,16,2,0.0,1,2,1,0,0,1,5.0,1.0,0,4,1.0,1.0,2.0,2.0,0,2.0,1.0,1.0,1.0,1.0,1,1.0,0
0,14,1,0.0,1,2,1,0,0,1,5.0,1.0,0,4,1.0,1.0,2.0,2.0,1,2.0,1.0,1.0,0.0,1.0,1,1.0,0
0,17,3,1.0,1,2,1,0,0,0,4.0,3.0,1,3,1.0,1.0,2.0,1.0,0,2.0,1.0,1.0,1.0,1.0,1,1.0,0
0,15,2,1.0,1,2,1,0,0,1,5.0,4.0,0,4,1.0,1.0,3.0,1.0,0,4.0,1.0,1.0,1.0,1.0,1,1.0,0
0,15,2,0.0,1,1,1,0,0,0,1.0,1.0,0,1,1.0,1.0,4.0,1.0,0,1.0,4.0,1.0,1.0,1.0,1,1.0,0
0,15,2,1.0,1,1,1,0,0,0,1.0,2.0,0,2,1.0,1.0,3.0,1.0,0,2.0,4.0,1.0,1.0,1.0,1,1.0,0
1,13,1,1.0,1,3,1,0,0,1,5.0,2.0,0,1,1.0,1.0,3.0,1.0,0,2.0,2.0,1.0,1.0,1.0,1,1.0,0
1,12,1,0.0,1,3,1,1,0,0,5.0,4.0,0,1,1.0,1.0,3.0,1.0,0,2.0,2.0,1.0,1.0,1.0,1,1.0,0
0,12,1,1.0,1,2,1,0,0,1,3.0,2.0,0,2,1.0,1.0,3.0,1.0,0,4.0,1.0,1.0,1.0,1.0,1,1.0,0
1,14,1,0.0,1,3,1,0,0,1,3.0,1.0,0,1,1.0,1.0,3.0,1.0,0,1.0,1.0,1.0,1.0,1.0,0,0.0,0
0,13,1,0.0,1,3,1,0,0,1,3.0,1.0,0,2,1.0,1.0,3.0,1.0,0,4.0,1.0,1.0,1.0,1.0,1,1.0,0
0,13,1,1.0,1,3,1,0,0,1,3.0,1.0,0,2,1.0,1.0,3.0,1.0,0,4.0,1.0,1.0,1.0,1.0,1,1.0,0
0,17,3,0.0,1,1,1,0,0,0,3.0,2.0,0,2,1.0,1.0,2.0,1.0,0,3.0,2.0,0.0,0.0,0.0,0,1.0,0
0,16,2,0.0,1,2,1,0,0,0,5.0,1.0,0,4,1.0,1.0,2.0,1.0,0,2.0,4.0,1.0,1.0,1.0,1,1.0,0
0,15,2,0.0,1,4,1,0,0,1,5.0,2.0,0,3,1.0,1.0,2.0,1.0,0,2.0,1.0,1.0,1.0,1.0,1,1.0,0
1,12,1,1.0,1,2,1,0,0,0,3.0,1.0,0,3,1.0,1.0,2.0,1.0,0,1.0,1.0,1.0,1.0,1.0,1,1.0,0
0,17,3,0.0,1,2,1,0,1,0,3.0,1.0,0,4,1.0,1.0,2.0,1.0,0,2.0,4.0,1.0,1.0,1.0,1,1.0,0
1,14,1,1.0,1,2,1,0,0,0,5.0,3.0,0,4,1.0,1.0,2.0,2.0,1,2.0,1.0,1.0,1.0,1.0,0,1.0,0
0,18,3,0.0,1,2,1,0,0,0,5.0,1.0,0,3,1.0,1.0,2.0,1.0,0,2.0,3.0,1.0,1.0,1.0,1,1.0,0
0,17,3,1.0,1,2,1,0,0,0,5.0,1.0,0,3,1.0,1.0,2.0,1.0,0,2.0,3.0,1.0,1.0,1.0,1,1.0,0
1,15,2,1.0,1,2,1,0,0,0,5.0,2.0,0,3,1.0,1.0,2.0,1.0,0,2.0,2.0,1.0,1.0,1.0,1,1.0,0
0,13,1,1.0,1,2,1,0,0,1,3.0,1.0,0,4,1.0,1.0,2.0,1.0,0,1.0,3.0,1.0,1.0,1.0,1,1.0,0
0,14,1,0.0,1,2,1,0,0,0,5.0,3.0,0,3,1.0,1.0,2.0,1.0,0,3.0,2.0,0.0,1.0,0.0,1,1.0,0
0,18,3,1.0,1,2,1,0,0,0,5.0,3.0,0,2,1.0,1.0,2.0,1.0,0,3.0,1.0,1.0,1.0,0.0,0,1.0,0
1,13,1,0.0,1,1,1,0,0,0,5.0,3.0,0,2,1.0,0.0,2.0,1.0,0,4.0,2.0,1.0,1.0,1.0,0,0.0,0
0,18,3,0.0,1,2,1,0,0,0,5.0,1.0,0,3,1.0,1.0,2.0,1.0,0,1.0,2.0,1.0,1.0,1.0,1,1.0,0
0,14,1,1.0,1,2,1,0,0,0,3.0,2.0,0,3,1.0,1.0,1.0,1.0,0,2.0,2.0,1.0,1.0,1.0,1,1.0,0
0,15,2,0.0,1,2,1,0,0,1,5.0,1.0,0,4,1.0,1.0,2.0,1.0,0,2.0,3.0,1.0,1.0,1.0,1,1.0,0
0,13,1,1.0,1,3,1,0,1,0,3.0,6.0,0,1,0.0,1.0,2.0,1.0,0,1.0,1.0,1.0,1.0,1.0,1,1.0,0
0,14,1,0.0,1,2,2,0,0,0,5.0,1.0,0,4,1.0,1.0,2.0,1.0,0,2.0,4.0,1.0,1.0,1.0,1,1.0,0
1,15,2,0.0,1,2,1,0,0,1,5.0,2.0,1,3,1.0,1.0,2.0,1.0,0,2.0,2.0,1.0,0.0,0.0,0,1.0,0
0,14,1,0.0,1,1,1,0,0,1,5.0,1.0,0,4,1.0,1.0,4.0,2.0,0,2.0,1.0,1.0,1.0,1.0,1,1.0,0
1,14,1,0.0,1,2,1,0,1,1,5.0,1.0,1,4,1.0,1.0,2.0,1.0,0,1.0,4.0,1.0,1.0,1.0,1,1.0,0
0,12,1,1.0,1,2,1,0,0,1,5.0,2.0,0,4,1.0,1.0,2.0,1.0,0,1.0,2.0,1.0,1.0,1.0,1,1.0,0
1,15,2,0.0,1,2,1,0,0,0,5.0,2.0,0,3,1.0,1.0,2.0,1.0,0,2.0,2.0,1.0,1.0,1.0,1,1.0,0
0,17,3,0.0,1,2,1,0,0,0,5.0,1.0,0,3,1.0,1.0,2.0,1.0,0,3.0,1.0,1.0,1.0,0.0,1,1.0,0
1,15,2,1.0,1,2,1,0,0,0,5.0,3.0,0,3,1.0,1.0,2.0,1.0,0,3.0,1.0,1.0,1.0,0.0,0,1.0,0
0,16,2,1.0,1,2,1,0,0,0,1.0,1.0,0,1,1.0,1.0,2.0,1.0,0,2.0,2.0,1.0,1.0,1.0,1,1.0,0
0,15,2,1.0,1,2,1,0,1,0,1.0,4.0,0,1,1.0,1.0,2.0,1.0,0,2.0,2.0,1.0,1.0,1.0,1,1.0,0
1,16,2,1.0,1,2,1,0,0,0,5.0,2.0,0,4,1.0,1.0,2.0,1.0,0,2.0,1.0,1.0,1.0,1.0,1,0.0,0
0,17,3,0.0,3,2,1,0,0,0,5.0,1.0,1,3,1.0,1.0,3.0,1.0,0,4.0,3.0,1.0,1.0,1.0,0,1.0,0
0,12,1,0.0,1,2,1,0,0,0,5.0,1.0,0,3,1.0,1.0,3.0,1.0,0,4.0,3.0,1.0,0.0,1.0,1,1.0,0
1,12,1,1.0,1,5,1,0,0,0,2.0,2.0,0,4,1.0,1.0,3.0,1.0,0,2.0,3.0,1.0,1.0,1.0,1,1.0,0
1,17,3,0.0,1,5,1,0,0,0,5.0,1.0,0,4,1.0,1.0,3.0,1.0,0,2.0,4.0,1.0,1.0,1.0,0,1.0,1
0,16,2,1.0,1,2,1,0,0,0,5.0,1.0,0,3,1.0,1.0,3.0,1.0,0,1.0,1.0,1.0,1.0,1.0,1,1.0,0
0,13,1,0.0,1,1,0,0,0,0,5.0,1.0,0,3,1.0,1.0,3.0,1.0,0,2.0,2.0,1.0,1.0,1.0,1,1.0,0
0,16,2,0.0,1,2,1,0,0,1,5.0,1.0,0,2,1.0,1.0,3.0,2.0,0,1.0,1.0,1.0,1.0,1.0,1,1.0,0
1,13,1,0.0,1,2,1,0,0,1,1.0,2.0,0,4,1.0,1.0,3.0,1.0,0,1.0,2.0,1.0,1.0,1.0,1,1.0,0
0,17,3,0.0,1,1,0,0,0,0,1.0,2.0,0,2,1.0,1.0,3.0,1.0,0,2.0,4.0,1.0,1.0,1.0,1,1.0,0
1,16,2,1.0,1,1,2,0,1,1,5.0,1.0,0,1,0.0,1.0,3.0,1.0,0,2.0,4.0,1.0,1.0,1.0,1,1.0,0
0,14,1,1.0,1,1,2,0,1,0,5.0,1.0,0,1,0.0,1.0,3.0,1.0,0,2.0,4.0,1.0,1.0,1.0,1,1.0,0
0,13,1,1.0,1,3,1,0,0,0,3.0,2.0,0,2,1.0,1.0,3.0,1.0,0,1.0,3.0,1.0,1.0,1.0,0,1.0,0
0,13,1,1.0,1,2,1,0,0,0,5.0,1.0,0,3,1.0,1.0,3.0,2.0,0,1.0,1.0,0.0,1.0,1.0,1,1.0,0
0,15,2,1.0,1,1,0,0,0,0,5.0,3.0,0,3,1.0,1.0,3.0,2.0,0,4.0,1.0,1.0,1.0,0.0,1,1.0,0
0,13,1,1.0,1,1,1,0,0,0,3.0,2.0,0,3,1.0,1.0,3.0,1.0,0,2.0,3.0,1.0,1.0,1.0,0,1.0,0
0,17,3,1.0,1,4,1,0,0,0,5.0,1.0,0,1,1.0,1.0,3.0,1.0,0,1.0,4.0,1.0,1.0,1.0,1,1.0,0
1,17,3,1.0,1,1,0,0,0,0,3.0,2.0,0,2,1.0,1.0,3.0,1.0,0,2.0,4.0,1.0,1.0,1.0,1,1.0,0
0,16,2,1.0,1,2,1,0,0,0,3.0,3.0,0,4,1.0,1.0,3.0,1.0,0,4.0,3.0,1.0,1.0,1.0,1,1.0,0
0,16,2,0.0,1,1,1,0,0,1,5.0,3.0,0,4,1.0,1.0,3.0,1.0,0,2.0,4.0,1.0,1.0,1.0,0,1.0,0
0,15,2,1.0,1,1,1,0,0,0,5.0,3.0,0,4,1.0,1.0,3.0,1.0,0,2.0,4.0,1.0,1.0,1.0,0,0.0,0
0,16,2,1.0,1,1,1,0,0,0,3.0,1.0,0,2,1.0,1.0,3.0,1.0,0,2.0,4.0,1.0,1.0,1.0,1,1.0,0
0,15,2,1.0,1,1,1,0,0,0,5.0,1.0,0,4,0.0,0.0,3.0,1.0,0,2.0,4.0,1.0,1.0,1.0,1,1.0,0
0,14,1,1.0,1,1,1,0,0,0,5.0,1.0,0,4,1.0,1.0,3.0,1.0,0,2.0,4.0,1.0,1.0,1.0,1,1.0,0
0,12,1,0.0,1,5,1,0,0,1,3.0,1.0,0,4,1.0,1.0,3.0,1.0,0,2.0,3.0,1.0,1.0,1.0,1,1.0,0
0,17,3,1.0,1,2,1,0,0,0,4.0,2.0,0,2,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,1.0,1,1.0,1
1,13,1,1.0,1,2,1,0,0,0,5.0,1.0,1,2,1.0,1.0,1.0,1.0,0,2.0,3.0,1.0,1.0,1.0,1,1.0,0
0,13,1,1.0,1,3,1,0,0,0,4.0,1.0,0,2,1.0,1.0,1.0,1.0,0,1.0,4.0,1.0,1.0,1.0,0,1.0,0
0,16,2,0.0,1,2,1,0,0,1,3.0,1.0,0,4,1.0,1.0,1.0,1.0,0,2.0,4.0,1.0,1.0,1.0,1,1.0,0
0,17,3,0.0,1,1,2,0,0,0,4.0,1.0,0,2,1.0,1.0,1.0,1.0,0,1.0,4.0,1.0,1.0,1.0,1,1.0,0
1,12,1,0.0,1,2,1,0,0,0,3.0,1.0,0,3,1.0,1.0,3.0,1.0,0,1.0,2.0,1.0,1.0,1.0,0,1.0,0
0,16,2,0.0,1,1,1,0,0,1,5.0,1.0,0,3,1.0,1.0,3.0,1.0,0,2.0,4.0,1.0,1.0,1.0,1,1.0,0
0,13,1,0.0,1,2,1,0,0,0,3.0,2.0,0,2,1.0,1.0,3.0,1.0,0,4.0,1.0,1.0,1.0,1.0,1,1.0,0
1,17,3,0.0,1,2,1,0,0,0,1.0,1.0,0,1,1.0,1.0,3.0,1.0,0,2.0,4.0,1.0,1.0,1.0,0,1.0,0
0,16,2,0.0,1,4,0,0,0,1,3.0,1.0,0,3,1.0,1.0,3.0,1.0,0,2.0,4.0,1.0,1.0,1.0,0,1.0,0
0,14,1,0.0,1,4,0,0,0,1,1.0,1.0,0,3,1.0,1.0,3.0,1.0,0,2.0,2.0,1.0,1.0,1.0,0,1.0,0
